keyword,rating,
battery is lasting for a very short period chargers should be improved,pos,
excels,pos,
goood,pos,
gooood,pos,
grace,pos,
grand,pos,
great,pos,
gusto,pos,
gutsy,pos,
handy,pos,
happy,pos,
hardy,pos,
heaven,pos,
helped,pos,
heroic,pos,
heros,pos,
homage,pos,
honor,pos,
hooray,pos,
humane,pos,
humor,pos,
humour,pos,
ideal,pos,
jolly,pos,
jovial,pos,
joyous,pos,
justly,pos,
keenly,pos,
kindly,pos,
lavish,pos,
lawful,pos,
leads,pos,
levity,pos,
liked,pos,
likes,pos,
liking,pos,
lively,pos,
loved,pos,
lovely,pos,
lover,pos,
loves,pos,
lucid,pos,
luster,pos,
luxury,pos,
magic,pos,
marvel,pos,
master,pos,
mature,pos,
mercy,pos,
merit,pos,
merry,pos,
mighty,pos,
modern,pos,
modest,pos,
neatly,pos,
nicely,pos,
nicer,pos,
nicest,pos,
nifty,pos,
nimble,pos,
noble,pos,
nobly,pos,
oasis,pos,
openly,pos,
outdo,pos,
outwit,pos,
pamper,pos,
pardon,pos,
peace,pos,
peach,pos,
pepped,pos,
peppy,pos,
piety,pos,
pluses,pos,
plush,pos,
poetic,pos,
poise,pos,
poised,pos,
praise,pos,
prefer,pos,
pretty,pos,
pride,pos,
prize,pos,
prompt,pos,
proper,pos,
proud,pos,
proven,pos,
proves,pos,
purify,pos,
quaint,pos,
quiet,pos,
rapid,pos,
ready,pos,
redeem,pos,
refine,pos,
reform,pos,
regal,pos,
regard,pos,
relent,pos,
relief,pos,
relish,pos,
remedy,pos,
renown,pos,
revel,pos,
revere,pos,
revive,pos,
richer,pos,
richly,pos,
right,pos,
robust,pos,
roomy,pos,
safely,pos,
sagely,pos,
saint,pos,
salute,pos,
saver,pos,
savior,pos,
savvy,pos,
scenic,pos,
secure,pos,
serene,pos,
sharp,pos,
shine,pos,
shiny,pos,
silent,pos,
sleek,pos,
slick,pos,
smiles,pos,
smooth,pos,
snappy,pos,
snazzy,pos,
softer,pos,
solace,pos,
solid,pos,
soothe,pos,
speedy,pos,
sporty,pos,
stable,pos,
steady,pos,
strong,pos,
sturdy,pos,
suave,pos,
succes,pos,
super,pos,
superb,pos,
supple,pos,
supurb,pos,
swank,pos,
swanky,pos,
sweet,pos,
talent,pos,
tempt,pos,
tender,pos,
thank,pos,
thrift,pos,
thrill,pos,
thrive,pos,
tickle,pos,
tingle,pos,
tough,pos,
trendy,pos,
trophy,pos,
trump,pos,
trusty,pos,
unity,pos,
unreal,pos,
upbeat,pos,
upheld,pos,
uphold,pos,
uplift,pos,
usable,pos,
useful,pos,
valor,pos,
virtue,pos,
vivid,pos,
vouch,pos,
warmer,pos,
warmly,pos,
whooa,pos,
whoooa,pos,
wieldy,pos,
winner,pos,
wisdom,pos,
wisely,pos,
witty,pos,
wonder,pos,
worked,pos,
works,pos,
worth,pos,
worthy,pos,
wowed,pos,
wowing,pos,
zenith,pos,
zippy,pos,
rightly,pos,
roomier,pos,
saintly,pos,
satisfy,pos,
savings,pos,
sharper,pos,
simpler,pos,
smarter,pos,
smartly,pos,
smitten,pos,
soulful,pos,
soundly,pos,
sparkle,pos,
stately,pos,
staunch,pos,
stellar,pos,
stunned,pos,
stylish,pos,
suavely,pos,
sublime,pos,
succeed,pos,
success,pos,
suffice,pos,
supreme,pos,
surpass,pos,
surreal,pos,
sweeten,pos,
sweetly,pos,
talents,pos,
thinner,pos,
thrifty,pos,
thrills,pos,
tougher,pos,
triumph,pos,
trumpet,pos,
twinkly,pos,
unbound,pos,
unfazed,pos,
upscale,pos,
useable,pos,
valiant,pos,
vibrant,pos,
victory,pos,
wealthy,pos,
welcome,pos,
willing,pos,
winners,pos,
winning,pos,
wonders,pos,
elegant,pos,
elevate,pos,
eminent,pos,
empower,pos,
enchant,pos,
endorse,pos,
enjoyed,pos,
enliven,pos,
ennoble,pos,
enthral,pos,
enthuse,pos,
enticed,pos,
entrust,pos,
envious,pos,
erudite,pos,
ethical,pos,
abound,pos,
acumen,pos,
admire,pos,
adore,pos,
adored,pos,
adorer,pos,
adroit,pos,
affirm,pos,
afford,pos,
agile,pos,
amaze,pos,
amazed,pos,
amazes,pos,
amity,pos,
ample,pos,
amply,pos,
amuse,pos,
angel,pos,
appeal,pos,
ardent,pos,
ardor,pos,
aspire,pos,
assure,pos,
attune,pos,
avidly,pos,
award,pos,
awards,pos,
awsome,pos,
beauty,pos,
beckon,pos,
better,pos,
bless,pos,
bliss,pos,
blithe,pos,
bloom,pos,
bonny,pos,
bonus,pos,
boost,pos,
brainy,pos,
brave,pos,
bravo,pos,
breeze,pos,
bright,pos,
brisk,pos,
cajole,pos,
catchy,pos,
champ,pos,
charm,pos,
chaste,pos,
cheer,pos,
cheery,pos,
cherub,pos,
classy,pos,
clear,pos,
clears,pos,
clever,pos,
cohere,pos,
comely,pos,
comfy,pos,
crisp,pos,
cushy,pos,
daring,pos,
dazzle,pos,
decent,pos,
defeat,pos,
devout,pos,
divine,pos,
eager,pos,
eased,pos,
eases,pos,
easier,pos,
easing,pos,
edify,pos,
elate,pos,
elated,pos,
elite,pos,
endear,pos,
enjoy,pos,
enjoys,pos,
enough,pos,
enrapt,pos,
enrich,pos,
entice,pos,
evenly,pos,
exalt,pos,
exceed,pos,
excel,pos,
excite,pos,
extol,pos,
extoll,pos,
exult,pos,
fairly,pos,
faith,pos,
famed,pos,
famous,pos,
fancy,pos,
favor,pos,
favour,pos,
feisty,pos,
fervid,pos,
fervor,pos,
fiery,pos,
finely,pos,
finer,pos,
finest,pos,
firmer,pos,
flashy,pos,
fluent,pos,
fondly,pos,
loving,pos,
formid,pos,
lucky,pos,
freed,pos,
fresh,pos,
frolic,pos,
frugal,pos,
gaiety,pos,
gaily,pos,
gained,pos,
gains,pos,
galore,pos,
geeky,pos,
genial,pos,
mentum,pos,
genius,pos,
gifted,pos,
gladly,pos,
joyful,pos,
glitz,pos,
glory,pos,
golden,pos,
sound,pos,
goodly,pos,
everytime visit staff member helpful friendly include lady manager,pos,
friendly staff ready will assist tirelesy,pos,
excellent service enjoy year,pos,
poor branch network short bank hour make inconvenient bank work,neg,
service prompt efficient happy customer,pos,
friendly staff,pos,
pesalink mvisa masterpass miss mobile bank app,neg,
quality service reli,pos,
multiple attempt get etr invoice zuku,neg,
service excellent every thing ok,pos,
customer service way excellent,pos,
receive comfortable price quite fair,pos,
display nice thank much,pos,
excellent service serve,pos,
thank great customer service,pos,
great journey,pos,
great journey bank student profession today,pos,
score like company much,pos,
score like,pos,
service quite fast efficient,pos,
quality,pos,
communication quite effective understand issue concern policy,pos,
lot fro get,pos,
although mobile app service sound like fact nic seem charge every tiny thing,pos,
change mobile number nic system charge,pos,
old client surrender,pos,
report credit card,pos,
discount need agree manager empower,neg,
hotpoint place,pos,
incessant first choice,pos,
helpful term,pos,
slow service poor handle client,neg,
bad customer care experience ever,neg,
reduce wait period one apply loan,pos,
procure loan many occasion  follow progress hq,pos,
would like improvement,neg,
never dissapointed need,pos,
honest never see,pos,
staff employ need train,neg,
sound nowhere say,pos,
sound nowhere say bad nice even customer service comfortable present comfortable arreged,pos,
interact comfortable staff,pos,
customer long time never disappoint service,pos,
service okey,pos,
compare quite comfortable quality bank give u well return money,pos,
friendly business,pos,
friendly n business support,pos,
online platform need information service plus bonus would estimate approx loan client qualify,neg,
happy service,pos,
direct rate method expensive loan,neg,
take loan direct rate find intrest plus tthe direct rate method punitive,neg,
give wrong information staff,neg,
give wrong information,neg,
experience bungoma branch,pos,
poor service nothing make happy,neg,
advertise team,pos,
access online,neg,
link mobile bank,neg,
